leptons.at(0).pT,leptons.at(0).phi,leptons.at(0).eta,leptons.at(1).pT,leptons.at(1).phi,leptons.at(1).eta,leptons.at(2).pT,leptons.at(2).phi,leptons.at(2).eta,MET_Phi,ST,bJet_vector.size(),Jet_vector.size()
38.3042,0.76449,-1.77717,34.4845,0.65004,-1.93065,30.1107,1.73276,-1.48395,-2.00509,198.295,0,0
26.8998,1.62671,0.0527063,26.5501,1.11526,1.2738,15.5937,0.45018,2.115,-2.21296,156.125,0,0
149.273,2.85022,-1.71013,138.57,2.92957,-1.52297,99.3208,-0.487455,-1.95056,-0.0690518,809.673,0,2
61.0186,-1.58842,2.17547,28.7745,1.63469,1.11058,22.1897,-0.364612,2.39974,-2.58672,171.949,0,0
60.616,-2.91411,-2.38526,29.1583,-1.17643,-2.02663,21.7301,-0.888506,-1.99892,0.536047,181.467,0,0
72.776,2.51197,1.26184,41.2812,-1.99121,1.08854,18.8674,0.640712,0.699576,0.834198,251.183,0,0
42.9202,0.14978,-1.00694,15.0388,-2.28207,-2.03691,11.3941,-0.00726602,0.682962,-2.93546,148.372,0,0
105.599,-1.61781,0.652875,43.1006,0.222476,1.20293,40.9152,1.73341,1.15253,3.02068,298.101,0,0
58.2119,-1.58613,-1.64701,57.2953,-3.03088,-1.75709,47.9119,-2.59021,-1.26828,-0.615784,369.851,0,0
46.2142,-0.366921,2.27216,46.18,-0.981212,1.73929,38.4023,-1.50336,1.52184,2.99498,204.911,0,0
53.9784,-0.0850693,-0.480449,45.3306,-3.13812,-1.61433,33.8577,-2.97719,-1.99433,1.18391,208.399,0,0
25.4926,3.12366,-2.41642,24.0556,-1.34074,-1.35908,16.6006,1.45568,-0.296523,-0.674426,204.213,0,1
21.9501,1.07699,2.25728,19.7956,1.09585,0.0228718,16.9027,-2.94421,2.13076,-0.705823,115.636,0,0
27.1606,1.24817,1.51475,15.0932,-2.83646,-0.342753,12.7748,1.77296,1.09277,-0.536115,181.856,0,2
88.865,3.09151,2.40747,55.5723,-0.295676,1.55063,46.7484,-0.62918,2.36391,1.12404,272.839,0,0
37.6306,2.10152,2.27423,28.9345,-0.428415,1.84571,17.1672,0.70973,-0.0803841,-3.07667,303.192,0,0
101.93,1.48195,0.658952,39.6543,-1.59252,1.85936,17.1918,1.00345,0.84212,2.66278,279.979,0,1
41.9303,0.0976535,2.02718,40.4174,0.56791,1.93605,20.9333,-2.44397,2.11425,-2.63498,138.112,0,0
56.9488,1.22957,-1.49186,33.9932,-0.804945,-1.20722,26.9011,-3.008,-1.44832,-1.14311,131.491,0,0
47.9528,-1.38675,-1.62333,30.4511,-2.50776,-2.11311,23.4524,-0.355514,-0.668681,1.63651,205.097,0,0
86.4286,-2.14488,-1.5871,41.2488,0.641761,-0.574742,27.6209,0.487235,-2.10909,-0.80611,280.918,0,1
70.7999,-2.32141,1.94175,52.3337,-1.33052,2.1664,24.9727,2.24992,0.949265,1.02132,350.958,0,0
54.8085,0.189138,-0.86062,49.9552,0.846472,-0.874411,18.6038,2.19771,-1.22564,-1.67227,240.148,0,1
100.644,-0.0139014,-0.530073,62.9848,-2.59211,1.42543,10.0666,1.20478,0.0740262,0.545174,508.902,0,1
63.5479,0.765228,0.396599,53.4299,-3.00605,-1.18964,15.2854,-2.5693,-0.156023,-0.347351,213.474,0,0
22.4986,2.34177,-0.265238,18.4518,2.13857,0.764634,18.0506,-1.79404,2.49419,0.157925,106.461,0,0
51.2548,2.90702,-0.32975,22.0872,0.364285,-0.122718,19.2269,0.511144,0.200323,-1.12824,211.633,0,0
72.7259,-0.140134,-0.523699,53.3002,-0.118321,-0.170396,42.9961,-0.996027,-1.14355,1.88124,277.163,0,1
48.5714,2.8797,-1.29989,43.5953,2.54713,-1.33244,18.0753,-0.768529,-1.8659,-0.739903,195.999,0,1
31.0218,-0.350246,2.02453,19.624,2.30677,0.543467,16.3888,-2.29852,0.88594,2.00186,161.095,0,1
60.3933,1.81584,0.0220585,42.4016,0.571067,0.0771078,28.1121,-1.65024,-0.162873,-3.01507,255.989,0,1
36.6155,-1.86684,-1.55605,36.0965,2.36175,-1.70548,29.1577,0.344406,-1.9516,0.013259,317.381,0,1
61.6064,2.72533,0.939596,57.0657,-2.99871,1.00042,15.7039,0.418806,0.461661,-0.118961,216.424,0,0
59.7359,-0.77893,2.20482,54.481,1.87081,1.72494,34.7745,2.21469,1.40043,-2.50963,223.419,0,0
39.4195,2.68482,-1.14147,34.0018,0.861105,0.412782,24.8426,-0.880398,-0.686182,-2.42621,117.053,0,0
108.481,1.71292,0.100716,72.1535,-2.02011,1.31429,18.7703,-1.05635,0.119676,1.18029,458.697,0,0
60.3023,2.76698,1.12746,56.3635,0.908814,1.28878,27.2893,-0.053698,1.61711,-1.88104,244.421,0,0
62.2795,-2.20482,0.122171,36.3181,-2.81882,-0.22589,20.0561,-0.322526,0.846783,0.587915,235.108,0,0
43.7342,-2.19829,-1.52078,38.5099,-2.39418,-1.45507,12.7415,1.42143,0.0521578,1.80739,175.953,0,0
36.0971,-2.46792,1.10427,27.1895,0.616599,0.571548,16.7801,1.08433,0.513893,2.91407,132.791,0,0
57.6996,1.96636,-0.662954,29.4996,2.74667,-0.681876,28.4522,1.42133,-1.84834,-0.519156,252.149,0,1
37.4233,-1.46748,-0.579265,30.1434,0.749107,-2.48858,13.929,2.05936,-1.89889,2.57168,228.288,0,1
48.6988,0.399448,1.39788,30.3503,-2.54789,1.10975,24.423,0.264993,1.95815,-2.89525,155.335,0,0
55.2047,1.26746,-0.733335,43.4442,-1.36407,0.33286,12.3305,-1.08293,-1.74561,-2.90142,192.118,0,0
53.8599,2.36443,-1.09651,40.8178,-0.755705,-0.647589,15.0681,-2.62635,-2.07253,2.49963,263.378,0,0
39.5401,-0.206709,2.13247,39.3847,-0.308135,2.36158,29.7533,-2.19333,1.85285,2.91652,275.1,0,1
96.7399,0.794034,1.46528,64.25,0.807309,1.72642,49.4709,1.33779,0.933134,-2.43046,681.661,0,1
83.16,-0.189772,1.67955,60.563,2.90484,0.907412,14.4544,-1.46913,2.0142,1.33474,252.102,0,0
68.0261,-1.1779,-2.28027,36.221,-0.835896,-1.31617,22.7316,-0.139224,-1.29603,0.932214,394.194,0,3
45.4665,-0.0401979,1.00694,27.3136,-2.68903,0.514688,14.5656,-2.24213,-0.439273,-2.16543,172.173,0,1
31.7329,-2.33463,-0.458783,30.5174,0.110568,2.18828,30.0207,-0.00100604,-0.0273764,2.34301,199.487,0,0
39.5841,0.124207,1.69078,28.9817,-0.755892,2.02539,11.3502,2.42771,0.284701,3.06666,120.295,0,0
95.4357,1.21291,-1.11382,41.0646,2.42523,-1.24682,24.1875,-1.79728,0.897646,1.15781,234.633,0,1
55.8548,-0.00578572,-1.58744,50.7285,0.2768,-1.42918,25.6913,-1.35235,-0.704579,2.34822,304.092,0,0
137.432,2.01158,-0.633305,89.8547,-0.938543,-0.877433,73.4134,-0.706218,-0.419638,2.71807,424.402,0,0
28.1935,-1.796,0.642848,24.0541,1.26652,-0.0387721,19.4302,-0.737602,-0.509393,0.896975,166.686,0,0
37.2102,1.26279,0.664358,26.9422,-0.397729,0.972496,22.2815,2.00593,0.438711,-2.95054,166.495,0,0
43.024,-0.24508,-0.43583,27.8391,-2.50676,-1.07492,25.5846,1.14703,-0.149756,-1.22944,180.251,0,1
49.6391,-0.292308,1.31211,31.7327,1.12582,0.1669,13.4202,-3.03981,1.95453,-2.3788,177.49,0,0
38.8548,0.0146364,1.06648,32.9534,1.45019,-0.399876,31.0769,-1.21328,-0.0726309,-2.37398,176.432,0,0
38.047,2.57982,-2.07114,28.3442,-1.88254,-1.68561,24.1512,-2.69708,-2.03958,0.218494,150.634,0,0
149.515,-1.11194,1.48702,90.4602,-1.06519,1.34895,44.9682,-0.690201,0.9221,2.06282,550.044,0,1
34.1162,3.03865,1.50613,26.0163,0.875147,0.337475,13.1508,1.61833,0.0918957,0.170372,193.784,1,1
32.5835,2.48994,1.05319,30.6525,-2.41148,1.87963,19.1157,-0.119493,0.454512,-0.227691,106.46,0,0
57.1479,-0.00434389,-0.647009,38.7027,-2.25308,-0.0317966,33.9823,2.35047,-0.404333,2.99295,209.099,0,0
30.7556,-0.41783,-0.629594,26.2132,-3.03383,-1.50561,17.7807,-0.104838,-2.15727,-0.77445,168.22,0,1
41.9002,1.1888,-0.84191,31.2092,-0.897965,-0.648225,18.7269,1.94251,-1.45162,2.56925,192.127,0,0
43.4728,0.256863,-0.484055,36.9323,2.40977,-1.34468,15.1588,2.9242,-1.59563,-2.17733,153.339,0,0
21.5927,1.12542,0.607971,21.4015,-2.3006,2.44003,14.7887,-0.50371,0.395139,1.34947,130.67,0,0
92.5077,1.44904,-0.816422,53.6527,-1.64647,0.527431,17.3628,-0.0363095,1.76139,2.47654,281.193,0,1
37.1279,2.54123,-1.6755,32.6748,-0.930513,-2.43479,23.5612,1.65406,-1.50929,-0.789337,222.479,0,1
48.5412,0.765339,1.7217,35.0899,2.19912,1.65153,24.9636,-2.14773,2.02981,2.83418,217.659,0,1
120.675,0.317351,-1.43629,50.322,0.634552,-1.36033,15.2895,1.69777,-0.967677,1.77358,404.399,0,1
33.8936,-2.37281,0.0477293,30.8011,0.602787,-0.740822,26.2076,-1.01523,-1.01899,1.41238,183.077,0,0
78.8367,1.48545,-0.0650571,41.7726,1.73686,-0.566816,20.7839,2.12829,-1.36058,-1.06531,287.759,0,0
31.8067,-1.30643,1.36786,27.3426,-1.8601,0.075692,27.0539,-1.90945,-0.219216,1.48185,230.951,0,1
106.357,0.305345,0.112924,105.555,0.174269,0.192605,45.8921,-0.367771,0.541528,3.10774,516.619,0,0
38.7592,-2.53345,-0.163561,35.21,-1.19216,0.0404084,25.7741,1.56287,-0.285626,0.89052,220.704,0,0
128.941,2.24557,-1.65073,84.1205,-1.36871,-2.39091,43.3433,-0.318203,-2.13546,1.59759,515.736,0,1
56.3425,-2.02847,1.48337,30.1356,-1.33508,2.37399,27.3727,-2.17743,0.665509,1.64305,250.639,0,0
43.0351,-1.95275,0.480716,26.6909,1.59049,-1.47249,24.4014,-2.07319,-1.1258,3.09499,265.503,0,0
49.7544,2.47385,0.840397,36.1802,1.21143,1.14969,27.4112,-2.6416,1.1053,-1.81461,223.73,0,1
38.286,-2.78159,-0.867435,23.4884,2.58067,-0.162656,23.0406,-0.745062,0.143359,1.39669,162.685,0,0
62.0815,-1.94831,-2.28011,33.2998,-0.386157,-2.29541,21.1867,0.449179,-2.35461,0.289128,204.458,0,0
60.7633,3.04647,-1.75621,54.3671,2.2311,-1.16361,35.1303,-2.63474,-1.01385,-0.53736,326.477,0,0
44.7386,-0.897172,0.248652,37.107,-2.49597,0.0727483,18.1987,-0.489934,-1.21118,2.14062,206.441,0,0
39.8296,3.04159,-2.13817,35.8091,-1.51514,-2.20895,18.7918,2.38684,-0.313193,0.888283,200.885,0,0
39.7847,0.694968,1.16456,19.8865,-2.96438,0.0053369,16.6625,-2.1998,2.09272,-2.1447,131.963,0,1
33.5893,2.85968,-1.8078,32.0537,-0.5202,-2.10105,23.3588,-1.39495,-1.12222,1.5858,128.715,0,0
104.474,-0.923755,-2.02329,99.0712,-0.47498,-2.04209,37.2578,-1.32845,-1.70345,-1.60871,632.666,0,1
33.832,-1.58659,0.91946,32.395,-2.63763,0.771943,21.8047,1.48009,1.11301,2.36991,414.669,0,1
39.4872,1.76522,1.29422,28.3718,1.55455,1.71393,27.646,-2.30741,1.33488,0.495956,190.215,0,0
39.9415,0.97444,1.39365,34.5248,1.73642,1.45811,24.0237,-1.03071,2.36885,-1.28591,255.678,0,1
49.1496,1.49708,-1.23991,46.834,2.66279,-2.00874,17.5318,-1.42357,-1.22595,-1.9996,204.017,0,0
101.313,-1.10478,0.0202798,82.2233,1.93806,0.317196,12.2943,-2.57645,-0.589715,-1.78462,463.55,0,1
66.5343,1.74122,0.996246,34.5338,1.72432,1.01309,29.0981,-1.48518,1.14404,-1.93046,254.146,0,2
34.1172,1.50682,1.2018,29.4951,-1.59357,0.215904,24.0669,-1.51436,0.143517,2.54762,152.453,0,0
62.9345,2.70901,-1.01441,45.1904,0.640043,-0.883338,43.9994,0.0430832,-0.42184,-1.73312,249.17,0,0
66.385,1.36399,-1.92648,42.7562,-0.866307,-1.48569,18.0015,2.07848,-0.898074,2.90197,249.298,0,1
95.0276,-1.83655,0.479404,52.4568,0.943975,-0.409466,43.9596,-2.12645,0.306262,1.16135,297.21,0,0
84.6332,2.3167,-0.782081,23.7933,-2.67464,-0.185356,13.9726,1.24032,0.255165,-1.22391,280.494,0,0
61.6784,-1.20615,2.2424,47.3977,-1.83008,1.98557,35.9707,-0.905189,1.1567,1.34065,395.647,0,2
72.4566,0.487932,-1.19969,51.1748,0.143762,-1.14418,19.0059,2.84115,-1.20456,-1.95117,453.566,0,2
97.5967,2.99537,1.05526,36.2652,-0.211239,0.216764,34.0211,-0.0957941,1.86335,2.79338,338.522,0,2
36.3657,-0.151292,1.02699,33.2647,2.14659,0.801696,19.9527,-0.248003,0.0738407,-2.1893,134.913,0,0
68.3032,1.11474,-1.35245,50.3467,1.76434,-1.01591,12.6218,-0.745455,-0.208005,-2.72802,496.722,0,2
41.5643,2.4531,-0.771352,37.3739,-0.0906948,-0.0663272,32.3362,-0.538688,-1.20285,-2.5864,223.127,0,0
63.2722,-2.86799,0.821273,38.9082,1.21342,-0.399046,36.7914,-0.793249,-0.864089,1.09866,220.275,0,0
102.355,2.29527,-2.27712,91.9415,1.76457,-2.0964,79.2792,1.82487,-2.11414,-1.79454,534.307,0,1
64.2835,-2.63021,1.74469,54.2348,1.47543,0.820107,20.8008,2.36735,1.02036,-0.715243,212.221,0,0
37.1346,1.09591,-2.33196,32.3611,0.914571,-1.38981,20.9065,-2.29222,-2.38968,0.563633,221.204,0,1
31.7277,-2.096,1.06122,26.2599,1.51333,2.33328,10.5778,2.79225,-0.417034,-2.24228,150.237,0,0
30.2455,-2.6424,1.17646,30.1988,2.7229,1.51432,18.0708,-0.895306,0.110938,-3.06097,209.332,0,2
36.9597,-2.35273,1.54462,26.5985,-1.91144,1.00958,22.2359,1.26388,-0.301683,2.37598,170.893,0,0
63.0392,-1.63062,-2.37991,33.7137,-2.25176,-2.17241,19.4471,-0.427742,-1.91196,2.22586,279.143,0,1
103.006,0.233912,-1.45284,71.1549,-2.75235,-1.94726,35.8191,-2.43611,-2.21043,-2.90117,241.008,0,0
195.78,3.09646,0.769288,135.178,-0.230945,1.13665,101.093,-0.157169,1.05432,2.27812,462.114,0,0
54.1283,2.27099,0.544079,37.1397,-2.50897,0.522688,20.6907,-1.17548,1.21214,-1.15919,256.897,0,1
37.8921,0.847994,1.71899,31.4444,-1.53227,2.09193,11.4474,-2.92064,-0.111986,2.05498,281.159,0,1
31.2095,-2.48709,0.533462,30.6091,-1.41681,0.131931,28.4471,2.05929,0.0902382,-0.617367,178.866,0,1
46.4866,0.820564,1.14055,21.9335,-1.37199,1.08361,20.1497,-2.60162,-0.925006,-0.0888692,255.693,0,1
47.1997,-2.37967,-0.266133,14.961,0.880953,0.209993,12.7056,-1.00289,-1.61225,-3.06731,215.655,0,1
93.5457,0.996927,0.467453,31.4965,2.52374,0.354069,30.4475,0.406717,0.562248,-1.94226,429.46,0,2
45.4021,-2.19153,-1.6223,44.0455,2.44422,-1.59882,26.8017,0.0530222,-1.95271,0.291693,226.98,0,0
57.0967,1.09502,0.43934,56.7797,-1.00333,0.910408,23.2067,-0.421262,0.747447,-1.3305,272.984,0,1
84.7975,-3.03268,0.0936092,79.8919,1.50836,-0.908936,12.4012,-0.694617,-1.11321,-1.56903,403.243,0,1
88.9271,1.70582,2.23159,68.2108,1.17127,2.37344,10.9397,1.28308,0.669761,-2.16737,205.933,0,0
29.4448,-0.390996,0.710613,25.1153,-0.0423025,-1.17924,19.2928,-1.10359,-1.23832,2.99481,176.425,0,0
72.3405,-1.76563,-0.907033,55.1005,-0.652767,-0.623179,44.5116,-1.60898,-0.498501,-3.05157,403.012,0,0
88.5014,3.05366,-1.26947,81.5911,2.71646,-0.977899,17.5849,-1.67117,-0.849095,-0.305775,356.403,0,0
183.831,-1.72095,0.845002,76.4022,1.74483,2.01419,39.0915,1.29651,1.15315,-1.64259,434.888,0,1
82.0344,1.08406,-0.566989,45.3664,0.5837,0.391447,39.5435,1.49251,0.121295,3.04932,490.091,0,2
24.7624,-2.32538,-1.42929,22.1497,2.46394,-2.31298,21.9057,-1.65834,-0.144204,0.834231,124.113,0,0
88.541,-2.75249,-1.40969,74.0725,0.501875,-2.30113,45.0716,0.50366,-2.1987,-2.45476,483.063,0,2
102.646,1.69225,0.597497,93.7697,1.89311,0.742999,19.8946,0.307549,1.20521,-1.41788,522.147,0,1
150.959,-3.0141,0.0784741,88.6854,-0.00477631,-0.486355,15.6833,-1.33722,-1.36027,2.71938,371.633,0,0
45.8758,-2.49337,-1.30818,41.5933,-2.77719,-0.433975,40.1616,-1.99715,-1.77785,0.196988,268.899,0,0
34.2788,1.59096,-1.17547,29.843,0.708552,-1.09306,24.0684,2.91565,0.111051,-1.94017,249.813,0,1
189.287,-0.4579,-0.455859,165.43,-0.62968,-0.27205,112.373,-0.657565,-0.13662,2.61572,1101.07,0,0
33.0964,-1.02034,-2.10218,31.8005,-0.903796,-2.1298,28.9994,2.78749,-2.44881,-2.36176,190.422,0,1
72.8724,-0.800716,-0.384692,63.3221,-0.237144,-0.484279,11.2252,2.53809,-0.0148013,1.49044,222.963,0,1
44.5659,0.921323,1.85667,24.8049,2.40433,1.19754,17.9501,-2.61305,0.707377,-1.50711,209.779,0,1
56.6533,-2.83237,0.708758,45.3533,-2.09519,0.399822,32.5739,-1.98077,-0.245593,1.60675,187.465,0,0
56.5687,-1.00288,-0.905341,50.9688,2.63001,-2.34912,41.775,3.0911,-2.14901,1.18893,184.801,0,0
40.4372,0.885112,-1.74742,36.8611,-1.76899,-2.0467,29.6466,-1.41772,-1.45828,-2.50589,139.584,0,0
40.9481,-0.22654,-0.10687,21.619,-1.94956,1.27516,19.6466,-0.0111579,1.78219,0.78702,359.796,0,2
98.3934,1.06321,1.35866,38.4386,-2.76704,1.88293,31.718,-1.21765,0.997187,-0.451171,264.338,0,0
64.843,-1.95306,-0.17004,35.6028,1.31639,-1.10341,17.2257,-2.33696,-1.65953,1.20183,356.989,0,0
38.6625,2.85134,-1.72947,23.3736,0.207006,-1.54762,23.2384,0.468309,-1.06727,-1.06077,107.201,0,0
63.3453,-0.664383,0.451242,33.3049,1.88105,0.917756,28.7931,0.689476,-0.372064,-2.86894,279.331,0,0
58.8658,2.40323,1.17712,54.4727,2.37631,1.56208,42.7087,-1.23851,0.0848309,-0.346375,244.391,0,0
30.8543,2.57436,1.47169,28.7622,-0.0897235,1.77585,22.7069,1.24469,0.597605,1.84095,254.694,0,1
38.8538,1.55035,2.14798,31.3976,1.3931,2.25437,16.3395,1.08723,1.29756,-1.8336,170.449,0,0
44.6649,0.59916,0.586679,18.1001,-2.86512,-0.210218,12.957,-0.672352,-1.106,-2.14161,180.033,0,0
115.534,1.13926,-0.932646,35.7407,0.109089,-1.18105,31.7069,-1.34822,-2.39063,0.247527,571.623,0,1
59.1772,1.42465,-1.0579,55.2711,1.82643,-0.88436,53.1382,0.500467,-0.785387,-2.51007,360.34,0,0
61.2454,1.52877,-1.29819,49.5176,1.79251,-1.38488,42.5559,0.256564,-1.2392,0.924022,321.604,0,0
39.6118,0.459258,-1.74194,26.6147,2.70487,-2.15307,20.3543,1.12762,-0.307784,-1.56459,184.646,0,1
36.7835,0.150639,0.00497641,23.5203,2.82179,0.726194,23.515,0.434395,-0.659149,-0.080935,168.442,0,1
43.0932,-0.262573,0.648535,38.0173,-3.04935,-1.22434,19.6993,0.0508968,-1.84296,-2.46129,111.719,0,0
35.4213,-2.71536,-0.763033,31.9242,-2.87659,-1.01698,27.6956,-0.960197,0.358747,1.74925,272.442,0,1
211.59,1.78403,1.15336,165.444,1.7866,1.1684,41.9592,2.20492,1.6891,-1.21132,863.144,0,0
130.83,-3.0859,0.334923,70.9751,-2.76249,-0.00285742,54.2295,-0.0486879,-1.6435,0.0857379,455.616,0,0
43.6397,0.277006,-2.3619,28.2777,2.43602,-2.25806,23.0419,2.35365,-1.35531,-1.7203,159.006,0,0
60.249,0.390426,0.87671,30.5131,1.14699,0.739317,22.0169,-0.784276,2.0533,-3.06596,190.261,0,0
71.8222,-2.14206,-0.0386455,40.6984,0.520597,-0.544304,30.3958,-2.28855,-0.386717,2.60141,237.932,0,1
45.9554,2.18093,-1.49488,43.8605,1.22692,-1.32711,43.3114,2.56367,-0.442595,-0.210165,438.1,0,2
60.615,-0.0534638,-1.28996,34.049,-0.519483,-0.0209417,13.2975,2.12316,-1.61322,-2.23993,339.386,0,2
67.2049,0.718105,0.84892,49.9581,2.35153,-1.11501,31.1994,2.36467,-1.12526,0.274534,417.019,0,2
68.6814,2.93502,1.23673,40.9855,-2.49896,0.0777293,12.9338,2.01845,1.77367,2.81883,344.723,0,1
36.9599,2.82164,-0.696048,31.052,-0.987061,-1.69976,21.5564,2.71749,-0.802376,1.65059,204.406,0,1
55.9359,-0.0878407,-0.618152,30.9981,-0.0401004,-0.589849,22.9352,-2.23412,0.680198,2.43931,234.269,0,0
101.098,-2.65099,1.49008,61.1097,0.857727,1.9234,46.4606,0.479644,1.69388,-0.0590842,229.973,0,0
31.5461,3.02992,1.52544,29.3006,-0.964278,0.756884,18.1384,2.26604,1.91892,2.41025,229.209,0,1
41.2474,0.472365,-0.227691,36.4063,-2.18628,-0.0178294,26.6046,2.64058,-0.338233,0.57463,253.685,0,2
47.6779,0.916555,-1.98464,36.8999,0.886399,-1.74829,17.9943,3.11424,-0.326816,-2.84546,330.389,0,1
37.7873,-3.13005,-0.00270391,33.8346,2.36805,-0.734515,30.5172,-2.43407,0.404693,-0.486722,224.394,0,1
125.115,0.651465,-0.307438,82.317,-2.77417,-0.903932,68.5276,-2.81114,-0.723153,0.315078,355.987,0,1
105.125,1.53677,1.336,104.586,-2.15059,1.36282,95.5096,-2.36642,1.56288,0.924076,601.057,0,0
40.5717,-2.09266,-0.103431,30.8946,-0.938506,-0.565272,25.9435,0.092439,0.16268,2.92463,194.648,0,0
63.4271,2.16358,0.608832,24.6092,2.37605,0.977562,20.4152,-2.28175,-0.125544,-0.887299,228.488,0,0
96.6351,2.26228,1.21546,31.4096,1.14172,1.40278,20.4722,1.03401,2.31432,-0.948971,326.252,0,0
51.0648,-1.13381,-1.84223,40.0654,-2.8147,-1.61243,17.0831,-0.460832,-0.71281,1.73543,149.86,0,0
42.6884,-2.7956,0.684515,26.7575,0.978682,0.42586,18.8244,-0.31742,-0.0691864,2.52191,212.918,0,0
55.0473,0.923333,0.528182,36.4283,-2.9472,1.39832,31.5275,-0.788244,1.19374,-1.08426,213.026,0,0
28.3145,2.77587,2.2405,17.8251,-0.717727,1.47545,10.9048,-1.54222,-0.0403689,-0.509682,134.417,0,1
32.3065,0.539933,-1.28185,22.8821,-2.97257,-0.615246,15.1101,2.48919,0.376669,-1.70804,116.781,0,1
93.105,-2.70232,0.980231,57.6849,-1.60699,0.697636,32.8386,-0.00542995,0.0756848,2.53005,328.068,0,1
48.8901,-1.82166,-0.121067,47.5682,-1.25322,-0.302179,25.4804,-1.35635,1.97013,1.46026,230.166,0,1
161.483,-2.26971,-1.20891,100.132,-2.18509,-0.759922,42.8903,-2.44092,-0.520826,0.641161,653.036,0,0
31.7621,2.18718,0.922194,31.7012,1.13672,1.79948,27.0674,-1.38357,1.40082,-2.08098,331.788,0,1
51.6647,-0.580435,2.06341,44.4559,2.10357,1.43579,14.5839,-0.441982,2.41677,-1.56257,280.364,0,0
